#ID = reference ID
#GeneID = EntrezGene ID
#REFSEQ = RefSeq ID
#GB_ACC = GenBank accession number
#Symbol = Gene symbol
#Description = Description
#OMIM = OMIM ID
#chromosome = chromosome number
#map.location = location on the chromosome
ID	GeneID	REFSEQ	GB_ACC	Symbol	Description	OMIM	chromosome	map.location
DAP1_0185	3148	NM_002129 ; NP_002120	NM_002129	HMGB2	high-mobility group box 2	163906	4	4q31
DAP1_0186	80342	NM_025228 ; NP_079504	NM_025228	TRAF3IP3	TRAF3 interacting protein 3	608255	1	1q32.3-q41
DAP1_0205	10950	NM_006806 ; NP_006797	NM_006806	BTG3	BTG family, member 3	605674	21	21q21.1-q21.2
DAP1_0206	4734	NM_006154 ; NP_006145 ; NM_198400 ; NP_940682	NM_006154	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	602278	15	15q
DAP1_0208	6890	NM_000593 ; NP_000584	NM_000593	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	170260 ; 604571	6	6p21.3
DAP1_0209	51421	NM_016201 ; NP_057285	NM_016201	AMOTL2	angiomotin like 2	NA	3	3q21-q22
DAP1_0210	10385	NM_006995 ; NP_008926 ; NM_181531 ; NP_853509	NM_006995	BTN2A2	butyrophilin, subfamily 2, member A2	NA	6	6p22.1
DAP1_0213	2153	NM_000130 ; NP_000121	NM_000130	F5	coagulation factor V (proaccelerin, labile factor)	227400 ; 600880	1	1q23
DAP1_0215	2520	NM_000805 ; NP_000796	NM_000805	GAST	gastrin	137250	17	17q21
DAP1_0220	5716	NM_002814 ; NP_002805 ; NM_170750 ; NP_736606	NM_002814	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	603480	X	Xq22.3
DAP1_0223	3177	NM_001532 ; NP_001523	NM_001532	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	602110	11	11q13
DAP1_0230	1109	NM_001818 ; NP_001809	NM_001818	AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	600451	10	10p15-p14
DAP1_0233	3485	NM_000597 ; NP_000588	NM_000597	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	146731	2	2q33-q34
DAP1_0234	1829	NM_001943 ; NP_001934	NM_001943	DSG2	desmoglein 2	125671 ; 610193	18	18q12.1
DAP1_0240	2539	NM_000402 ; NP_000393 ; NM_001042351 ; NP_001035810	NM_000402	G6PD	glucose-6-phosphate dehydrogenase	305900	X	Xq28
DAP1_0247	10059	NM_005690 ; NP_005681 ; NM_012062 ; NP_036192 ; NM_012063 ; NP_036193	NM_005690	DNM1L	dynamin 1-like	603850	12	12p11.21
DAP1_0256	4735	NM_001008491 ; NP_001008491 ; NM_001008492 ; NP_001008492 ; NM_004404 ; NP_004395 ; NM_006155 ; NP_006146	NM_001008491	Septin 2	septin 2	601506	2	2q37
DAP1_0261	10989	NM_006839 ; NP_006830	NM_006839	IMMT	inner membrane protein, mitochondrial (mitofilin)	600378	2	2p11.2 ; 2
DAP1_0263	3984	NM_002314 ; NP_002305	NM_002314	LIMK1	LIM domain kinase 1	601329	7	7q11.23
DAP1_0265	3705	NM_014216 ; NP_055031	NM_014216	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	601838	14	14q31
DAP1_0269	6368	NM_005064 ; NP_005055 ; NM_145898 ; NP_665905	NM_005064	CCL23	chemokine (C-C motif) ligand 23	602494	17	17q12
DAP1_0270	10198	NM_022782 ; NP_073619	NM_022782	MPHOSPH9	M-phase phosphoprotein 9	605501	12	12q24.31
DAP1_0273	9931	NM_014877 ; NP_055692	NM_014877	HELZ	helicase with zinc finger	606699	17	17q24.2
DAP1_0285	1478	NM_001325 ; NP_001316	NM_001325	CSTF2	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa	600368	X	Xq22.1
DAP1_0296	4793	NM_001001716 ; NP_001001716 ; NM_002503 ; NP_002494	NM_001001716	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	604495	19	19q13.1
DAP1_0300	1124	NM_001039936 ; NP_001035025 ; NM_004067 ; NP_004058	NM_001039936	CHN2	chimerin (chimaerin) 2	602857	7	7p15.3
DAP1_0312	2597	NM_002046 ; NP_002037	NM_002046	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	138400	12	12p13
DAP1_0315	1131	XM_001130695 ; XP_001130695 ; NM_000740 ; NP_000731	XM_001130695	CHRM3	cholinergic receptor, muscarinic 3	118494	1	1q43
DAP1_0331	900	NM_004060 ; NP_004051 ; NM_199246 ; NP_954854	NM_004060	CCNG1	cyclin G1	601578	5	5q32-q34
DAP1_0341	1796	NM_001381 ; NP_001372	NM_001381	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	602919	2	2p13
DAP1_0361	10427	XM_001130118 ; XP_001130118 ; NM_001042734 ; NP_001036199 ; NM_006323 ; NP_006314	XM_001130118	SEC24B	SEC24 related gene family, member B (S. cerevisiae)	607184	4	4q25
DAP1_0368	4297	NM_005933 ; NP_005924	NM_005933	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	159555	11	11q23
DAP1_0377	1009	NM_001797 ; NP_001788	NM_001797	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	600023	16	16q22.1
DAP1_0398	11163	NM_019094 ; NP_061967 ; NM_199040 ; NP_950241	NM_019094	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	609229	12	12q21
DAP1_0401	92689	NM_138389 ; NP_612398	NM_138389	FAM114A1	family with sequence similarity 114, member A1	NA	4	4p14
DAP1_0403	6792	NM_001037343 ; NP_001032420 ; NM_003159 ; NP_003150	NM_001037343	CDKL5	cyclin-dependent kinase-like 5	300203 ; 308350 ; 312750	X	Xp22
DAP1_0427	2631	NM_001483 ; NP_001474	NM_001483	GBAS	glioblastoma amplified sequence	603004	7	7p12
DAP1_0430	5875	NM_004581 ; NP_004572 ; NM_182836 ; NP_878256	NM_004581	RABGGTA	Rab geranylgeranyltransferase, alpha subunit	601905	14	14q11.2
DAP1_0433	4125	NM_000528 ; NP_000519	NM_000528	MAN2B1	mannosidase, alpha, class 2B, member 1	248500 ; 609458	19	19cen-q13.1
DAP1_0437	2923	; NM_005313 ; NP_005304	NM_005313	PDIA3	protein disulfide isomerase family A, member 3	602046	15	15q15
DAP1_0442	3624	NM_002192 ; NP_002183	NM_002192	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	147290	7	7p15-p13
DAP1_0453	1528	NM_001914 ; NP_001905 ; NM_148923 ; NP_683725	NM_001914	CYB5A	cytochrome b5 type A (microsomal)	250790	18	18q23
DAP1_0460	9934	NM_001081455 ; NP_001074924 ; NM_014879 ; NP_055694	NM_001081455	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	610116	3	3q24-q25.1
DAP1_0480	9448	NM_004834 ; NP_004825 ; NM_145686 ; NP_663719 ; NM_145687 ; NP_663720	NM_004834	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	604666	2	2q11.2-q12
DAP1_0482	3215	NM_002147 ; NP_002138	NM_002147	HOXB5	homeobox B5	142960	17	17q21.3
DAP1_0509	2013	NM_001424 ; NP_001415	NM_001424	EMP2	epithelial membrane protein 2	602334	16	16p13.2
DAP1_0515	4199	NM_002395 ; NP_002386	NM_002395	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	154250	6	6q12
DAP1_0542	7013	NM_003218 ; NP_003209 ; NM_017489 ; NP_059523	NM_003218	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	600951	8	8q13
DAP1_0559	3990	NM_000236 ; NP_000227	NM_000236	LIPC	lipase, hepatic	151670	15	15q21-q23
DAP1_0581	9487	NM_004278 ; NP_004269	NM_004278	PIGL	phosphatidylinositol glycan anchor biosynthesis, class L	605947	17	17p12-p11.2
DAP1_0585	4668	NM_000262 ; NP_000253	NM_000262	NAGA	N-acetylgalactosaminidase, alpha-	104170 ; 609241 ; 609242	22	22q13-qter ; 22q11
DAP1_0587	2911	NM_000838 ; NP_000829	NM_000838	GRM1	glutamate receptor, metabotropic 1	604473	6	6q24
DAP1_0594	51317	NM_016621 ; NP_057705	NM_016621	PHF21A	PHD finger protein 21A	608325	11	11p11.2
DAP1_0601	10462	NM_006344 ; NP_006335 ; NM_182906 ; NP_878910	NM_006344	CLEC10A	C-type lectin domain family 10, member A	605999	17	17p13.1
DAP1_0605	9537	NM_001076787 ; NP_001070255 ; NM_006034 ; NP_006025	NM_001076787	TP53I11	tumor protein p53 inducible protein 11	NA	11	11p11.2
DAP1_0606	4688	NM_000433 ; NP_000424	NM_000433	NCF2	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	233710 ; 608515	1	1q25
DAP1_0607	9918	NM_014865 ; NP_055680	NM_014865	NCAPD2	non-SMC condensin I complex, subunit D2	NA	12	12p13.3
DAP1_0609	7076	NM_003254 ; NP_003245	NM_003254	TIMP1	TIMP metallopeptidase inhibitor 1	305370	X	Xp11.3-p11.23
DAP1_0614	6847	NM_003176 ; NP_003167	NM_003176	SYCP1	synaptonemal complex protein 1	602162	1	1p13-p12
DAP1_0619	4613	NM_005378 ; NP_005369	NM_005378	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	164280 ; 164840 ; 602585	2	2p24.1
DAP1_0620	10397	NM_006096 ; NP_006087	NM_006096	NDRG1	N-myc downstream regulated gene 1	601455 ; 605262	8	8q24.3
DAP1_0623	1950	NM_001963 ; NP_001954	NM_001963	EGF	epidermal growth factor (beta-urogastrone)	131530	4	4q25
DAP1_0629	3181	NM_002137 ; NP_002128 ; NM_031243 ; NP_112533	NM_002137	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	600124	7	7p15
DAP1_0630	2516	NM_004959 ; NP_004950	NM_004959	NR5A1	nuclear receptor subfamily 5, group A, member 1	184757	9	9q33
DAP1_0631	3091	NM_001530 ; NP_001521 ; NM_181054 ; NP_851397	NM_001530	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	603348	14	14q21-q24
DAP1_0634	2185	NM_004103 ; NP_004094 ; NM_173174 ; NP_775266 ; NM_173175 ; NP_775267 ; NM_173176 ; NP_775268	NM_004103	PTK2B	PTK2B protein tyrosine kinase 2 beta	601212	8	8p21.1
DAP1_0636	23484	NM_015344 ; NP_056159	NM_015344	LEPROTL1	leptin receptor overlapping transcript-like 1	607338	8	8p21.2-p21.1
DAP1_0648	249	NM_000478 ; NP_000469	NM_000478	ALPL	alkaline phosphatase, liver/bone/kidney	146300 ; 171760 ; 241500 ; 241510	1	1p36.1-p34
DAP1_0649	7867	NM_004635 ; NP_004626	NM_004635	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	602130	3	3p21.3
DAP1_0651	5567	NM_002731 ; NP_002722 ; NM_182948 ; NP_891993 ; NM_207578 ; NP_997461	NM_002731	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	176892	1	1p36.1
DAP1_0654	786	NM_000727 ; NP_000718	NM_000727	CACNG1	calcium channel, voltage-dependent, gamma subunit 1	114209	17	17q24
DAP1_0656	25874	NM_015415 ; NP_056230	NM_015415	BRP44	brain protein 44	NA	1	1q24
DAP1_0657	231	NM_001628 ; NP_001619	NM_001628	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	103880	7	7q35
DAP1_0671	55601	NM_017631 ; NP_060101	NM_017631	FLJ20035	NA	NA	4	4q32.3
DAP1_0674	7409	NM_005428 ; NP_005419	NM_005428	VAV1	vav 1 oncogene	164875	19	19p13.2
DAP1_0678	3394	NM_002163 ; NP_002154	NM_002163	IRF8	interferon regulatory factor 8	601565	16	16q24.1
DAP1_0682	7386	NM_006003 ; NP_005994	NM_006003	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	191327	19	19q12-q13.1
DAP1_0691	91445	NM_152267 ; NP_689480	NM_152267	RNF185	ring finger protein 185	NA	22	22q12.2
DAP1_0692	5925	NM_000321 ; NP_000312	NM_000321	RB1	retinoblastoma 1 (including osteosarcoma)	109800 ; 180200 ; 259500	13	13q14.2
DAP1_0696	9021	NM_003955 ; NP_003946	NM_003955	SOCS3	suppressor of cytokine signaling 3	604176 ; 605805	17	17q25.3
DAP1_0697	3934	NM_005564 ; NP_005555	NM_005564	LCN2	lipocalin 2 (oncogene 24p3)	600181	9	9q34
DAP1_0700	7913	NM_003472 ; NP_003463	NM_003472	DEK	DEK oncogene (DNA binding)	125264	6	6p22.3
DAP1_0715	3635	XM_929960 ; XP_935053 ; NM_001017915 ; NP_001017915 ; NM_005541 ; NP_005532	XM_929960	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa	601582	2	2q37.1
DAP1_0717	2184	NM_000137 ; NP_000128	NM_000137	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	276700	15	15q23-q25
DAP1_0718	1015	NM_004063 ; NP_004054	NM_004063	CDH17	cadherin 17, LI cadherin (liver-intestine)	603017	8	8q22.1
DAP1_0720	922	NM_005894 ; NP_005885	NM_005894	CD5L	CD5 molecule-like	602592	1	1q21-q23
DAP1_0721	5827	XM_001126107 ; XP_001126107 ; NM_018663 ; NP_061133	XM_001126107	PXMP2	peroxisomal membrane protein 2, 22kDa	NA	12	12q24.33
DAP1_0724	3702	NM_005546 ; NP_005537	NM_005546	ITK	IL2-inducible T-cell kinase	186973	5	5q31-q32
DAP1_0731	1636	NM_152831 ; NP_690044 ; NM_000789 ; NP_000780 ; NM_152830 ; NP_690043	NM_152831	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	104300 ; 106180 ; 267430 ; 603933	17	17q23.3
DAP1_0732	80303	NM_025202 ; NP_079478	NM_025202	EFHD1	EF-hand domain family, member D1	NA	2	2q37.1
DAP1_0740	477	NM_000702 ; NP_000693	NM_000702	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	104290 ; 182340 ; 602481	1	1q21-q23
DAP1_0742	23492	NM_175709 ; NP_783640	NM_175709	CBX7	chromobox homolog 7	608457	22	22q13.1
DAP1_0743	27314	NM_014488 ; NP_055303	NM_014488	RAB30	RAB30, member RAS oncogene family	605693	11	11q12-q14
DAP1_0744	8777	NM_003829 ; NP_003820	NM_003829	MPDZ	multiple PDZ domain protein	603785	9	9p24-p22
DAP1_0745	168667	NM_133468 ; NP_597725	NM_133468	BMPER	BMP binding endothelial regulator	608699	7	7p14.3
DAP1_0747	3852	NM_000424 ; NP_000415	NM_000424	KRT5	keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	131800 ; 131960 ; 148040 ; 179850	12	12q12-q13
DAP1_0751	3675	NM_002204 ; NP_002195 ; NM_005501 ; NP_005492	NM_002204	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	605025	17	17q21.33
DAP1_0752	4090	NM_001001419 ; NP_001001419 ; NM_001001420 ; NP_001001420 ; NM_005903 ; NP_005894	NM_001001419	SMAD5	SMAD family member 5	603110	5	5q31
DAP1_0753	11007	NM_006848 ; NP_006839	NM_006848	CCDC85B	coiled-coil domain containing 85B	605360	11	11q12.1
DAP1_0754	3978	NM_000234 ; NP_000225	NM_000234	LIG1	ligase I, DNA, ATP-dependent	126391	19	19q13.2-q13.3
DAP1_0756	4168	NM_005369 ; NP_005360	NM_005369	MCF2	MCF.2 cell line derived transforming sequence	311030	X	Xq27
DAP1_0758	4256	NM_000900 ; NP_000891	NM_000900	MGP	matrix Gla protein	154870 ; 245150	12	12p13.1-p12.3
DAP1_0759	9514	NM_004861 ; NP_004852	NM_004861	GAL3ST1	galactose-3-O-sulfotransferase 1	602300	22	22q12.2
DAP1_0764	830	NM_006136 ; NP_006127	NM_006136	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	601571	7	7q31.2-q31.3
DAP1_0775	4047	NM_001001438 ; NP_001001438 ; NM_002340 ; NP_002331	NM_001001438	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	600909	21	21q22.3
DAP1_0778	393	NM_001666 ; NP_001657	NM_001666	ARHGAP4	Rho GTPase activating protein 4	300023	X	Xq28
DAP1_0780	10922	NM_006712 ; NP_006703 ; NM_033015 ; NP_148936	NM_006712	FASTK	Fas-activated serine/threonine kinase	606965	7	7q35
DAP1_0781	4077	XM_001124650 ; XP_001124650 ; XM_001124827 ; XP_001124827 ; XM_001127781 ; XP_001127781 ; NM_005899 ; NP_005890 ; NM_031858 ; NP_114064 ; NM_031862 ; NP_114068	XM_001124650	NBR1	neighbor of BRCA1 gene 1	166945	17	17q21.31
DAP1_0791	3958	NM_194327 ; NP_919308 ; NM_002306 ; NP_002297 ; NR_003225	NM_194327	LGALS3	lectin, galactoside-binding, soluble, 3	153619	14	14q21-q22
DAP1_0799	3631	NM_001566 ; NP_001557 ; NM_004027 ; NP_004018	NM_001566	INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa	600916	2	2q11.2
DAP1_0800	1656	NM_004397 ; NP_004388	NM_004397	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	600326	11	11q23.3
DAP1_0805	55885	NM_001001395 ; NP_001001395 ; NM_018640 ; NP_061110	NM_001001395	LMO3	LIM domain only 3 (rhombotin-like 2)	180386	12	12p12.3
DAP1_0807	8434	NM_021111 ; NP_066934	NM_021111	RECK	reversion-inducing-cysteine-rich protein with kazal motifs	605227	9	9p13-p12
DAP1_0813	5585	NM_002741 ; NP_002732 ; NM_213560 ; NP_998725	NM_002741	PKN1	protein kinase N1	601032	19	19p13.1-p12
DAP1_0814	7433	NM_004624 ; NP_004615	NM_004624	VIPR1	vasoactive intestinal peptide receptor 1	192321	3	3p22
DAP1_0815	283431	NM_174942 ; NP_777602	NM_174942	GAS2L3	growth arrest-specific 2 like 3	NA	12	12q23.1
DAP1_0820	1185	NM_001286 ; NP_001277 ; NM_021735 ; NP_068503 ; NM_021736 ; NP_068504 ; NM_021737 ; NP_068505	NM_001286	CLCN6	chloride channel 6	602726	1	1p36
DAP1_0822	23479	NM_014301 ; NP_055116 ; NM_213595 ; NP_998760	NM_014301	ISCU	iron-sulfur cluster scaffold homolog (E. coli)	NA	12	12q24.1
DAP1_0839	2706	NM_004004 ; NP_003995	NM_004004	GJB2	gap junction protein, beta 2, 26kDa	121011 ; 124500 ; 148210 ; 148350 ; 149200 ; 220290 ; 601544 ; 602540	13	13q11-q12
DAP1_0840	7534	NM_003406 ; NP_003397 ; NM_145690 ; NP_663723	NM_003406	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	601288	8	8q23.1
DAP1_0844	1312	NM_000754 ; NP_000745 ; NM_007310 ; NP_009294	NM_000754	COMT	catechol-O-methyltransferase	116790 ; 167870 ; 181500	22	22q11.21-q11.23 ; 22q11.21
